S.N.,Candidate,Party,EVM Votes,Postal Votes,Total Votes,Percentage of Votes
12.0,S RAGHUNATHA REDDY,Independent,693,17,710,0.05
13.0,BUDILI DHANUNJAYA,National Nava Kranthi Party,679,3,682,0.05
14.0,NOTA,None of the Above,17826,145,17971,1.27
1.0,Y. S. AVINASH REDDY,Yuvajana Sramika Rythu Congress Party,598406,6737,605143,45.78
2.0,CHADIPIRALLA BHUPESH SUBBARAMI REDDY,Telugu Desam,532358,10090,542448,41.03
3.0,Y.S. SHARMILA REDDY,Indian National Congress,136395,4644,141039,10.67
4.0,PANDITI. GURAPPA.,Bahujan Samaj Party,3790,20,3810,0.29
5.0,VENU GOPAL RACHINENI,Rashtriya Praja Congress  (Secular),3500,70,3570,0.27
6.0,CHINNAPUREDDY GOPALA KRISHNA REDDY,Independent,2414,16,2430,0.18
7.0,KUNCHAM. VENKATA SUBBA REDDY,Rayalaseema Rashtra Samithi,2329,4,2333,0.18
8.0,L. KHAJA HUSSAIN,Independent,1087,1,1088,0.08
9.0,ANKIREDDY. SURESH KUMAR REDDY.,All India Forward Bloc,752,3,755,0.06
10.0,KAKARLA SHANMUKHA REDDY,Independent,633,14,647,0.05
11.0,PALLE RAMESH,Jaibhim Rao Bharat Party,619,5,624,0.05
12.0,CHAN BASHA. S,Anna YSR Congress Party,432,7,439,0.03
13.0,J. V. RAMANA,Jaathia Chethi Vruthula Ikya Vedika Party,414,20,434,0.03
14.0,MALIKIREDDY. HANUMANTHA REDDY,Jana Sahayaka Sakthi,358,11,369,0.03
15.0,NOTA,None of the Above,16660,186,16846,1.27
1.0,PRABHAKAR REDDY VEMIREDDY,Telugu Desam,750771,15431,766202,55.7
2.0,VENUMBAKA VIJAYASAI REDDY,Yuvajana Sramika Rythu Congress Party,514375,5925,520300,37.82
3.0,KOPPULA RAJU,Indian National Congress,53264,1580,54844,3.99
4.0,BHASKAR NASINA,Bahujan Samaj Party,5710,101,5811,0.42
5.0,VIVEKA MANNEPALLI,Revolutionary Socialist Party,2794,10,2804,0.2
6.0,KOPPALA RAGHU,Independent,2010,5,2015,0.15
7.0,GAJULA SOMA SEKHAR,Jai Bharat National Party,1775,4,1779,0.13
8.0,SHAIK MUZIBUR RAHAMAN,Pyramid Party of India,1315,15,1330,0.1
9.0,SHAIK MAHABOOB BASHA (MABU),Republican Party of India (A),1228,5,1233,0.09
10.0,MALLEPALLY RAGHU,Navarang Congress Party,1104,1,1105,0.08
11.0,SHAIK SHAFI AHMED,All India Forward Bloc,1037,0,1037,0.08
12.0,NAKKA DINESH,Bharatha Chaitanya Yuvajana Party,576,24,600,0.04
13.0,TALARI VENKATAIAH,Jaibhim Rao Bharat Party,553,5,558,0.04
14.0,PUNGANURU PRASANNA GANAPATHI,Radical Party of India (Ambedkarist),452,2,454,0.03
15.0,NOTA,None of the Above,15454,123,15577,1.13
1.0,GURUMOORTHY MADDILA,Yuvajana Sramika Rythu Congress Party,626702,5526,632228,45.73
2.0,VARA PRASAD RAO VELAGAPALLI,Bharatiya Janata Party,608494,9165,617659,44.67
3.0,CHINTA MOHAN,Indian National Congress,63790,1733,65523,4.74
4.0,PENUMURU. GURAPPA,Bahujan Samaj Party,10300,206,10506,0.76
5.0,KATTAMANCHI. PRABHAKAR,Independent,5796,6,5802,0.42
6.0,M UMADEVI,Janata Congress,5387,38,5425,0.39
7.0,ALLAM.RAJA,Independent,4948,22,4970,0.36
8.0,VIJAY KUMAR G.SRKR,Liberation Congress Party,4108,194,4302,0.31
9.0,ANJAIAH.P,Republican Party of India (A),3657,9,3666,0.27
10.0,V.C. NAVEEN GUPTA,Independent,1723,8,1731,0.13
11.0,A. VARAPRASAD,Jatiya Jana Sena Party,1668,30,1698,0.12
12.0,SYAMDHAN KURAPATI,Aihra National Party,1567,1,1568,0.11
13.0,C. PUNYAMURTHY,United Republican Party of India,1511,4,1515,0.11
14.0,KARRA SIVA,Pyramid Party of India,1501,9,1510,0.11
15.0,VELURU. THEJOVATHI,Samajwadi Party,1362,27,1389,0.1
16.0,C. DAVID,Indian Believers Party (IBP),1237,2,1239,0.09
17.0,K. JEEVARATHNAM,Independent,1203,1,1204,0.09
18.0,DASARI. GOWTHAM,Independent,1077,10,1087,0.08
19.0,VIJAYA KUMAR.G,Independent,797,4,801,0.06
20.0,A. MADHU,Jai Hindustan Party,711,0,711,0.05
21.0,B. BHARANI BAS,Ambedkar National Congress,688,0,688,0.05
22.0,Y. MAHESH,Independent,615,7,622,0.04
23.0,PRASAD PATIBANDLA,Independent,607,1,608,0.04
24.0,NOTA,None of the Above,15909,209,16118,1.17
1.0,P V MIDHUN REDDY,Yuvajana Sramika Rythu Congress Party,639111,5733,644844,48.38
2.0,NALLARI KIRAN KUMAR REDDY,Bharatiya Janata Party,557030,11743,568773,42.67
3.0,SHAIK BASHEED,Indian National Congress,52229,1071,53300,4.0
4.0,ABBAVARAM UGENDRA,Bahujan Samaj Party,12306,57,12363,0.93
5.0,POOLA REDDY SEKHAR,Independent,6097,3,6100,0.46
6.0,NAGARAJU JETTI,Independent,5984,15,5999,0.45
7.0,PRADEEP PENAMADU,All India Forward Bloc,5671,1,5672,0.43
8.0,CHOUDVARAM SUBBANARASAIAH,Independent,4731,4,4735,0.36
9.0,PULI SREENIVASULU,Independent,4613,3,4616,0.35
10.0,SREENIVASULU MARRIPATI,Independent,4436,7,4443,0.33
11.0,AKBAR M BASHA,Anna YSR Congress Party,2394,17,2411,0.18
12.0,SANGARAJU NAGESWARA RAJU,Independent,1523,12,1535,0.12
13.0,MADA RAJA,Jaathia Chethi Vruthula Ikya Vedika Party,1415,0,1415,0.11
14.0,BATTHALA RAMANAIAH,Jai Bharat National Party,1360,6,1366,0.1
